"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,59,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"2",2019-12-08,62,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"3",2019-12-15,62,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"4",2019-12-22,36,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"5",2019-12-29,46,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"6",2020-01-05,70,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"7",2020-01-12,62,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"8",2020-01-19,61,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"9",2020-01-26,65,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"10",2020-02-02,58,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"11",2020-02-09,66,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"12",2020-02-16,71,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"13",2020-02-23,62,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"14",2020-03-01,51,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"15",2020-03-08,60,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"16",2020-03-15,100,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"17",2020-03-22,52,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"18",2020-03-29,57,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"19",2020-04-05,50,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"20",2020-04-12,53,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"21",2020-04-19,56,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"22",2020-04-26,66,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"23",2020-05-03,73,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
"24",2020-05-10,75,"Pearson VUE","world","2019-12-01 2021-08-15","web",0
