"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,"87","Quizlet","world","2019-12-01 2021-08-15","web",0
"2",2019-12-08,"100","Quizlet","world","2019-12-01 2021-08-15","web",0
"3",2019-12-15,"72","Quizlet","world","2019-12-01 2021-08-15","web",0
"4",2019-12-22,"7","Quizlet","world","2019-12-01 2021-08-15","web",0
"5",2019-12-29,"13","Quizlet","world","2019-12-01 2021-08-15","web",0
"6",2020-01-05,"61","Quizlet","world","2019-12-01 2021-08-15","web",0
"7",2020-01-12,"77","Quizlet","world","2019-12-01 2021-08-15","web",0
"8",2020-01-19,"72","Quizlet","world","2019-12-01 2021-08-15","web",0
"9",2020-01-26,"83","Quizlet","world","2019-12-01 2021-08-15","web",0
"10",2020-02-02,"86","Quizlet","world","2019-12-01 2021-08-15","web",0
"11",2020-02-09,"86","Quizlet","world","2019-12-01 2021-08-15","web",0
"12",2020-02-16,"73","Quizlet","world","2019-12-01 2021-08-15","web",0
"13",2020-02-23,"89","Quizlet","world","2019-12-01 2021-08-15","web",0
"14",2020-03-01,"90","Quizlet","world","2019-12-01 2021-08-15","web",0
"15",2020-03-08,"72","Quizlet","world","2019-12-01 2021-08-15","web",0
"16",2020-03-15,"39","Quizlet","world","2019-12-01 2021-08-15","web",0
"17",2020-03-22,"47","Quizlet","world","2019-12-01 2021-08-15","web",0
"18",2020-03-29,"53","Quizlet","world","2019-12-01 2021-08-15","web",0
"19",2020-04-05,"51","Quizlet","world","2019-12-01 2021-08-15","web",0
"20",2020-04-12,"52","Quizlet","world","2019-12-01 2021-08-15","web",0
"21",2020-04-19,"60","Quizlet","world","2019-12-01 2021-08-15","web",0
"22",2020-04-26,"61","Quizlet","world","2019-12-01 2021-08-15","web",0
"23",2020-05-03,"58","Quizlet","world","2019-12-01 2021-08-15","web",0
"24",2020-05-10,"50","Quizlet","world","2019-12-01 2021-08-15","web",0
"25",2020-05-17,"38","Quizlet","world","2019-12-01 2021-08-15","web",0
"26",2020-05-24,"30","Quizlet","world","2019-12-01 2021-08-15","web",0
"27",2020-05-31,"29","Quizlet","world","2019-12-01 2021-08-15","web",0
"28",2020-06-07,"31","Quizlet","world","2019-12-01 2021-08-15","web",0
"29",2020-06-14,"28","Quizlet","world","2019-12-01 2021-08-15","web",0
"30",2020-06-21,"26","Quizlet","world","2019-12-01 2021-08-15","web",0
"31",2020-06-28,"22","Quizlet","world","2019-12-01 2021-08-15","web",0
"32",2020-07-05,"21","Quizlet","world","2019-12-01 2021-08-15","web",0
"33",2020-07-12,"22","Quizlet","world","2019-12-01 2021-08-15","web",0
"34",2020-07-19,"22","Quizlet","world","2019-12-01 2021-08-15","web",0
"35",2020-07-26,"20","Quizlet","world","2019-12-01 2021-08-15","web",0
"36",2020-08-02,"19","Quizlet","world","2019-12-01 2021-08-15","web",0
"37",2020-08-09,"21","Quizlet","world","2019-12-01 2021-08-15","web",0
"38",2020-08-16,"32","Quizlet","world","2019-12-01 2021-08-15","web",0
"39",2020-08-23,"51","Quizlet","world","2019-12-01 2021-08-15","web",0
"40",2020-08-30,"70","Quizlet","world","2019-12-01 2021-08-15","web",0
