"","date","people_fully_vaccinated","people_partially_vaccinated"
"1",2020-12-14,0,0
"2",2020-12-15,0,85500
"3",2020-12-16,0,85500
"4",2020-12-17,0,85500
"5",2020-12-18,0,85500
"6",2020-12-19,0,85622
"7",2020-12-20,0,1212750
"8",2020-12-21,0,1378334
"9",2020-12-22,0,1538068
"10",2020-12-23,0,2529490
"11",2020-12-24,0,2705144
"12",2020-12-25,0,2792534
"13",2020-12-26,0,4739102
"14",2020-12-27,22,5074120
"15",2020-12-28,22,5796374
"16",2020-12-29,1200,6312332
"17",2020-12-30,1208,8268726
"18",2020-12-31,1488,8798956
"19",2021-01-01,1488,9012574
"20",2021-01-02,2040,14478528
"21",2021-01-03,46046,17719658
"22",2021-01-04,46050,19284014
"23",2021-01-05,46100,20724094
"24",2021-01-06,46962,22778815
"25",2021-01-07,48292,25084401
"26",2021-01-08,50816,27634353
"27",2021-01-09,52778,28209261
"28",2021-01-10,1303556,32169503
"29",2021-01-11,1383658,38060353
"30",2021-01-12,1487324,40214279
"31",2021-01-13,1640708,42850923
"32",2021-01-14,4487966,45757851
"33",2021-01-15,5122510,49656065
"34",2021-01-16,5184600,51316890
"35",2021-01-17,5415568,52528920
"36",2021-01-18,5754236,54812668
"37",2021-01-19,7030674,63200014
"38",2021-01-20,7854710,67331000
"39",2021-01-21,8964576,71789748
"40",2021-01-22,10044520,77618648
"41",2021-01-23,10915603,82517788
"42",2021-01-24,11787913,86320790
"43",2021-01-25,12803055,90522756
"44",2021-01-26,13907083,94005204
"45",2021-01-27,15345355,98992750
"46",2021-01-28,17219183,104772962
"47",2021-01-29,19025233,110445530
"48",2021-01-30,20646131,115787924
"49",2021-01-31,22186039,120031348
"50",2021-02-01,23546119,123884358
"51",2021-02-02,24760181,127285208
"52",2021-02-03,26699855,132030148
"53",2021-02-04,28995785,138107158
"54",2021-02-05,31125171,143882110
"55",2021-02-06,33337188,149733387
"56",2021-02-07,35867566,154170667
"57",2021-02-08,37485430,158441869
"58",2021-02-09,39238914,163154109
"59",2021-02-10,41733776,169570343
"60",2021-02-11,44621952,175934703
"61",2021-02-12,48555620,191537977
"62",2021-02-13,51726462,197975423
"63",2021-02-14,54980498,203718428
"64",2021-02-15,56437086,208152254
"65",2021-02-16,59883341,216004306
"66",2021-02-17,63078629,222753486
"67",2021-02-18,66782193,230794589
"68",2021-02-19,71293635,242295831
"69",2021-02-20,74468747,248213278
"70",2021-02-21,77547360,252228829
"71",2021-02-22,80036116,257120097
"72",2021-02-23,87182469,268331909
"73",2021-02-24,90616027,275922700
"74",2021-02-25,95046327,283630755
"75",2021-02-26,99807974,291557691
"76",2021-02-27,103791585,298256086
"77",2021-02-28,106799320,304171327
"78",2021-03-01,109806860,311402196
"79",2021-03-02,116429107,329706108
"80",2021-03-03,121002186,339662049
"81",2021-03-04,126102373,351450180
"82",2021-03-05,130875270,363072542
"83",2021-03-06,135267800,373353605
"84",2021-03-07,138036068,380952379
"85",2021-03-08,141787738,390988638
"86",2021-03-09,145492519,401001951
"87",2021-03-10,150873497,413367671
"88",2021-03-11,156098408,423829441
"89",2021-03-12,162311434,437409235
"90",2021-03-13,168958752,452560272
"91",2021-03-14,171160706,458793879
"92",2021-03-15,177291432,472545918
"93",2021-03-16,182894750,483265260
"94",2021-03-17,191360855,496435238
"95",2021-03-18,197442924,510060278
"96",2021-03-19,204499610,527150279
"97",2021-03-20,209212449,542346961
"98",2021-03-21,212667952,550450907
"99",2021-03-22,218145623,565606980
"100",2021-03-23,223629434,580335329
"101",2021-03-24,229766154,595949428
"102",2021-03-25,235882762,610641022
"103",2021-03-26,242807663,628198944
"104",2021-03-27,247919375,642334254
"105",2021-03-28,252210145,651410748
"106",2021-03-29,261678480,665952833
"107",2021-03-30,266940549,678088004
"108",2021-03-31,274566139,698908570
"109",2021-04-01,283131563,716068184
"110",2021-04-02,290704759,736716117
"111",2021-04-03,297256722,752624931
"112",2021-04-04,302277104,766773058
"113",2021-04-05,307541080,782657696
"114",2021-04-06,314069626,801296431
"115",2021-04-07,322999101,822142508
"116",2021-04-08,332785951,846228949
"117",2021-04-09,342132831,867365734
"118",2021-04-10,352384533,888442222
"119",2021-04-11,358612953,904204864
"120",2021-04-12,366719291,923494098
"121",2021-04-13,375694054,945208733
"122",2021-04-14,385178676,965921519
"123",2021-04-15,394998000,983626918
"124",2021-04-16,404505652,1000651596
"125",2021-04-17,412572206,1014144477
"126",2021-04-18,423416741,1029032825
"127",2021-04-19,430987955,1042118978
"128",2021-04-20,440727359,1055392119
"129",2021-04-21,449861232,1071299987
"130",2021-04-22,462364515,1088621564
"131",2021-04-23,473125214,1102481899
"132",2021-04-24,481428969,1111041386
"133",2021-04-25,492490031,1129270565
"134",2021-04-26,502542231,1142702108
"135",2021-04-27,513233064,1157012454
"136",2021-04-28,526512692,1175107039
"137",2021-04-29,541349876,1191939871
"138",2021-04-30,553259129,1206213661
"139",2021-05-01,562119377,1215508839
"140",2021-05-02,568818050,1223326541
"141",2021-05-03,575104877,1228294158
"142",2021-05-04,585228777,1241012721
"143",2021-05-05,598648446,1256535626
"144",2021-05-06,611715022,1270621731
"145",2021-05-07,626046091,1282835751
"146",2021-05-08,631001746,1276299517
"147",2021-05-09,627571177,1266358997
"148",2021-05-10,559880108,1113141558
"149",2021-05-11,NA,NA
"150",2021-05-12,NA,NA
"151",2021-05-13,NA,NA
"152",2021-05-14,NA,NA
"153",2021-05-15,NA,NA
"154",2021-05-16,NA,NA
"155",2021-05-17,NA,NA
"156",2021-05-18,NA,NA
"157",2021-05-19,NA,NA
"158",2021-05-20,NA,NA
"159",2021-05-21,NA,NA
"160",2021-05-22,NA,NA
"161",2021-05-23,NA,NA
"162",2021-05-24,NA,NA
"163",2021-05-25,NA,NA
"164",2021-05-26,NA,NA
"165",2021-05-27,NA,NA
"166",2021-05-28,NA,NA
"167",2021-05-29,NA,NA
"168",2021-05-30,NA,NA
"169",2021-05-31,NA,NA
"170",2021-06-01,NA,NA
"171",2021-06-02,NA,NA
"172",2021-06-03,NA,NA
"173",2021-06-04,NA,NA
"174",2021-06-05,NA,NA
"175",2021-06-06,NA,NA
"176",2021-06-07,NA,NA
"177",2021-06-08,NA,NA
"178",2021-06-09,NA,NA
"179",2021-06-10,NA,NA
"180",2021-06-11,NA,NA
"181",2021-06-12,NA,NA
"182",2021-06-13,NA,NA
"183",2021-06-14,NA,NA
"184",2021-06-15,NA,NA
"185",2021-06-16,NA,NA
"186",2021-06-17,NA,NA
"187",2021-06-18,NA,NA
"188",2021-06-19,NA,NA
"189",2021-06-20,NA,NA
"190",2021-06-21,NA,NA
"191",2021-06-22,NA,NA
"192",2021-06-23,NA,NA
"193",2021-06-24,NA,NA
"194",2021-06-25,NA,NA
"195",2021-06-26,NA,NA
"196",2021-06-27,NA,NA
"197",2021-06-28,NA,NA
"198",2021-06-29,NA,NA
"199",2021-06-30,NA,NA
"200",2021-07-01,NA,NA
"201",2021-07-02,NA,NA
"202",2021-07-03,NA,NA
"203",2021-07-04,NA,NA
"204",2021-07-05,NA,NA
"205",2021-07-06,NA,NA
"206",2021-07-07,NA,NA
"207",2021-07-08,NA,NA
"208",2021-07-09,NA,NA
"209",2021-07-10,NA,NA
"210",2021-07-11,NA,NA
"211",2021-07-12,NA,NA
"212",2021-07-13,NA,NA
"213",2021-07-14,NA,NA
"214",2021-07-15,NA,NA
"215",2021-07-16,NA,NA
"216",2021-07-17,NA,NA
"217",2021-07-18,NA,NA
"218",2021-07-19,NA,NA
"219",2021-07-20,NA,NA
"220",2021-07-21,NA,NA
"221",2021-07-22,NA,NA
"222",2021-07-23,NA,NA
"223",2021-07-24,NA,NA
"224",2021-07-25,NA,NA
"225",2021-07-26,NA,NA
"226",2021-07-27,NA,NA
"227",2021-07-28,NA,NA
"228",2021-07-29,NA,NA
"229",2021-07-30,NA,NA
"230",2021-07-31,NA,NA
"231",2021-08-01,NA,NA
"232",2021-08-02,NA,NA
"233",2021-08-03,NA,NA
"234",2021-08-04,NA,NA
"235",2021-08-05,NA,NA
"236",2021-08-06,NA,NA
"237",2021-08-07,NA,NA
"238",2021-08-08,NA,NA
"239",2021-08-09,NA,NA
"240",2021-08-10,NA,NA
"241",2021-08-11,NA,NA
"242",2021-08-12,NA,NA
"243",2021-08-13,NA,NA
"244",2021-08-14,NA,NA
"245",2021-08-15,NA,NA
"246",2021-08-16,NA,NA
"247",2021-08-17,NA,NA
"248",2021-08-18,NA,NA
"249",2021-08-19,NA,NA
"250",2021-08-20,NA,NA
"251",2021-08-21,NA,NA
"252",2021-08-22,NA,NA
"253",2021-08-23,NA,NA
"254",2021-08-24,NA,NA
"255",2021-08-25,NA,NA
"256",2021-08-26,NA,NA
"257",2021-08-27,NA,NA
"258",2021-08-28,NA,NA
"259",2021-08-29,NA,NA
"260",2021-08-30,NA,NA
"261",2021-08-31,NA,NA
"262",2021-09-01,NA,NA
"263",2021-09-02,NA,NA
"264",2021-09-03,NA,NA
"265",2021-09-04,NA,NA
"266",2021-09-05,NA,NA
"267",2021-09-06,NA,NA
"268",2021-09-07,NA,NA
"269",2021-09-08,NA,NA
"270",2021-09-09,NA,NA
"271",2021-09-10,NA,NA
"272",2021-09-11,NA,NA
"273",2021-09-12,NA,NA
"274",2021-09-13,NA,NA
"275",2021-09-14,NA,NA
"276",2021-09-15,NA,NA
"277",2021-09-16,NA,NA
"278",2021-09-17,NA,NA
