"","date","hits","keyword","geo","time","gprop","category"
"1",2017-12-03,"35","Online Learning","world","2017-12-01 2021-08-15","web",0
"2",2017-12-10,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"3",2017-12-17,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"4",2017-12-24,"20","Online Learning","world","2017-12-01 2021-08-15","web",0
"5",2017-12-31,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"6",2018-01-07,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"7",2018-01-14,"32","Online Learning","world","2017-12-01 2021-08-15","web",0
"8",2018-01-21,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"9",2018-01-28,"32","Online Learning","world","2017-12-01 2021-08-15","web",0
"10",2018-02-04,"32","Online Learning","world","2017-12-01 2021-08-15","web",0
"11",2018-02-11,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"12",2018-02-18,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"13",2018-02-25,"32","Online Learning","world","2017-12-01 2021-08-15","web",0
"14",2018-03-04,"33","Online Learning","world","2017-12-01 2021-08-15","web",0
"15",2018-03-11,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"16",2018-03-18,"32","Online Learning","world","2017-12-01 2021-08-15","web",0
"17",2018-03-25,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"18",2018-04-01,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"19",2018-04-08,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"20",2018-04-15,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"21",2018-04-22,"25","Online Learning","world","2017-12-01 2021-08-15","web",0
"22",2018-04-29,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"23",2018-05-06,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"24",2018-05-13,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"25",2018-05-20,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"26",2018-05-27,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"27",2018-06-03,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"28",2018-06-10,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"29",2018-06-17,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"30",2018-06-24,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"31",2018-07-01,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"32",2018-07-08,"25","Online Learning","world","2017-12-01 2021-08-15","web",0
"33",2018-07-15,"24","Online Learning","world","2017-12-01 2021-08-15","web",0
"34",2018-07-22,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"35",2018-07-29,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"36",2018-08-05,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"37",2018-08-12,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"38",2018-08-19,"25","Online Learning","world","2017-12-01 2021-08-15","web",0
"39",2018-08-26,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"40",2018-09-02,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"41",2018-09-09,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"42",2018-09-16,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"43",2018-09-23,"33","Online Learning","world","2017-12-01 2021-08-15","web",0
"44",2018-09-30,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"45",2018-10-07,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"46",2018-10-14,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"47",2018-10-21,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"48",2018-10-28,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"49",2018-11-04,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"50",2018-11-11,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"51",2018-11-18,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"52",2018-11-25,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"53",2018-12-02,"27","Online Learning","world","2017-12-01 2021-08-15","web",0
"54",2018-12-09,"25","Online Learning","world","2017-12-01 2021-08-15","web",0
"55",2018-12-16,"24","Online Learning","world","2017-12-01 2021-08-15","web",0
"56",2018-12-23,"18","Online Learning","world","2017-12-01 2021-08-15","web",0
"57",2018-12-30,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"58",2019-01-06,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"59",2019-01-13,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
