"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,"81","Kolibri","world","2019-12-01 2021-08-15","web",0
"2",2019-12-08,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"3",2019-12-15,"75","Kolibri","world","2019-12-01 2021-08-15","web",0
"4",2019-12-22,"80","Kolibri","world","2019-12-01 2021-08-15","web",0
"5",2019-12-29,"60","Kolibri","world","2019-12-01 2021-08-15","web",0
"6",2020-01-05,"70","Kolibri","world","2019-12-01 2021-08-15","web",0
"7",2020-01-12,"68","Kolibri","world","2019-12-01 2021-08-15","web",0
"8",2020-01-19,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"9",2020-01-26,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"10",2020-02-02,"71","Kolibri","world","2019-12-01 2021-08-15","web",0
"11",2020-02-09,"60","Kolibri","world","2019-12-01 2021-08-15","web",0
"12",2020-02-16,"57","Kolibri","world","2019-12-01 2021-08-15","web",0
"13",2020-02-23,"64","Kolibri","world","2019-12-01 2021-08-15","web",0
"14",2020-03-01,"62","Kolibri","world","2019-12-01 2021-08-15","web",0
"15",2020-03-08,"65","Kolibri","world","2019-12-01 2021-08-15","web",0
"16",2020-03-15,"71","Kolibri","world","2019-12-01 2021-08-15","web",0
"17",2020-03-22,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"18",2020-03-29,"78","Kolibri","world","2019-12-01 2021-08-15","web",0
"19",2020-04-05,"81","Kolibri","world","2019-12-01 2021-08-15","web",0
"20",2020-04-12,"79","Kolibri","world","2019-12-01 2021-08-15","web",0
"21",2020-04-19,"78","Kolibri","world","2019-12-01 2021-08-15","web",0
"22",2020-04-26,"83","Kolibri","world","2019-12-01 2021-08-15","web",0
"23",2020-05-03,"75","Kolibri","world","2019-12-01 2021-08-15","web",0
"24",2020-05-10,"78","Kolibri","world","2019-12-01 2021-08-15","web",0
"25",2020-05-17,"90","Kolibri","world","2019-12-01 2021-08-15","web",0
"26",2020-05-24,"84","Kolibri","world","2019-12-01 2021-08-15","web",0
"27",2020-05-31,"91","Kolibri","world","2019-12-01 2021-08-15","web",0
"28",2020-06-07,"85","Kolibri","world","2019-12-01 2021-08-15","web",0
"29",2020-06-14,"99","Kolibri","world","2019-12-01 2021-08-15","web",0
"30",2020-06-21,"100","Kolibri","world","2019-12-01 2021-08-15","web",0
"31",2020-06-28,"81","Kolibri","world","2019-12-01 2021-08-15","web",0
"32",2020-07-05,"70","Kolibri","world","2019-12-01 2021-08-15","web",0
"33",2020-07-12,"99","Kolibri","world","2019-12-01 2021-08-15","web",0
"34",2020-07-19,"89","Kolibri","world","2019-12-01 2021-08-15","web",0
"35",2020-07-26,"100","Kolibri","world","2019-12-01 2021-08-15","web",0
"36",2020-08-02,"83","Kolibri","world","2019-12-01 2021-08-15","web",0
"37",2020-08-09,"88","Kolibri","world","2019-12-01 2021-08-15","web",0
"38",2020-08-16,"81","Kolibri","world","2019-12-01 2021-08-15","web",0
"39",2020-08-23,"80","Kolibri","world","2019-12-01 2021-08-15","web",0
"40",2020-08-30,"74","Kolibri","world","2019-12-01 2021-08-15","web",0
"41",2020-09-06,"83","Kolibri","world","2019-12-01 2021-08-15","web",0
"42",2020-09-13,"81","Kolibri","world","2019-12-01 2021-08-15","web",0
"43",2020-09-20,"73","Kolibri","world","2019-12-01 2021-08-15","web",0
"44",2020-09-27,"71","Kolibri","world","2019-12-01 2021-08-15","web",0
"45",2020-10-04,"76","Kolibri","world","2019-12-01 2021-08-15","web",0
"46",2020-10-11,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"47",2020-10-18,"72","Kolibri","world","2019-12-01 2021-08-15","web",0
"48",2020-10-25,"58","Kolibri","world","2019-12-01 2021-08-15","web",0
"49",2020-11-01,"53","Kolibri","world","2019-12-01 2021-08-15","web",0
"50",2020-11-08,"65","Kolibri","world","2019-12-01 2021-08-15","web",0
"51",2020-11-15,"68","Kolibri","world","2019-12-01 2021-08-15","web",0
"52",2020-11-22,"64","Kolibri","world","2019-12-01 2021-08-15","web",0
"53",2020-11-29,"63","Kolibri","world","2019-12-01 2021-08-15","web",0
"54",2020-12-06,"62","Kolibri","world","2019-12-01 2021-08-15","web",0
"55",2020-12-13,"50","Kolibri","world","2019-12-01 2021-08-15","web",0
"56",2020-12-20,"53","Kolibri","world","2019-12-01 2021-08-15","web",0
"57",2020-12-27,"52","Kolibri","world","2019-12-01 2021-08-15","web",0
"58",2021-01-03,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"59",2021-01-10,"59","Kolibri","world","2019-12-01 2021-08-15","web",0
"60",2021-01-17,"59","Kolibri","world","2019-12-01 2021-08-15","web",0
"61",2021-01-24,"65","Kolibri","world","2019-12-01 2021-08-15","web",0
"62",2021-01-31,"57","Kolibri","world","2019-12-01 2021-08-15","web",0
"63",2021-02-07,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"64",2021-02-14,"71","Kolibri","world","2019-12-01 2021-08-15","web",0
"65",2021-02-21,"62","Kolibri","world","2019-12-01 2021-08-15","web",0
"66",2021-02-28,"64","Kolibri","world","2019-12-01 2021-08-15","web",0
"67",2021-03-07,"70","Kolibri","world","2019-12-01 2021-08-15","web",0
"68",2021-03-14,"68","Kolibri","world","2019-12-01 2021-08-15","web",0
"69",2021-03-21,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"70",2021-03-28,"64","Kolibri","world","2019-12-01 2021-08-15","web",0
"71",2021-04-04,"69","Kolibri","world","2019-12-01 2021-08-15","web",0
"72",2021-04-11,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"73",2021-04-18,"77","Kolibri","world","2019-12-01 2021-08-15","web",0
"74",2021-04-25,"60","Kolibri","world","2019-12-01 2021-08-15","web",0
"75",2021-05-02,"63","Kolibri","world","2019-12-01 2021-08-15","web",0
"76",2021-05-09,"53","Kolibri","world","2019-12-01 2021-08-15","web",0
"77",2021-05-16,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"78",2021-05-23,"76","Kolibri","world","2019-12-01 2021-08-15","web",0
"79",2021-05-30,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"80",2021-06-06,"70","Kolibri","world","2019-12-01 2021-08-15","web",0
"81",2021-06-13,"76","Kolibri","world","2019-12-01 2021-08-15","web",0
"82",2021-06-20,"88","Kolibri","world","2019-12-01 2021-08-15","web",0
"83",2021-06-27,"73","Kolibri","world","2019-12-01 2021-08-15","web",0
"84",2021-07-04,"64","Kolibri","world","2019-12-01 2021-08-15","web",0
"85",2021-07-11,"83","Kolibri","world","2019-12-01 2021-08-15","web",0
"86",2021-07-18,"75","Kolibri","world","2019-12-01 2021-08-15","web",0
"87",2021-07-25,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"88",2021-08-01,"77","Kolibri","world","2019-12-01 2021-08-15","web",0
"89",2021-08-08,"80","Kolibri","world","2019-12-01 2021-08-15","web",0
"90",2019-12-01,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"91",2019-12-08,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"92",2019-12-15,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"93",2019-12-22,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"94",2019-12-29,"4","Rumie","world","2019-12-01 2021-08-15","web",0
"95",2020-01-05,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"96",2020-01-12,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"97",2020-01-19,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"98",2020-01-26,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"99",2020-02-02,"<1","Rumie","world","2019-12-01 2021-08-15","web",0
"100",2020-02-09,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"101",2020-02-16,"1","Rumie","world","2019-12-01 2021-08-15","web",0
