"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"2",2019-12-08,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"3",2019-12-15,3,"Zoom","world","2019-12-01 2021-08-15","web",0
"4",2019-12-22,3,"Zoom","world","2019-12-01 2021-08-15","web",0
"5",2019-12-29,3,"Zoom","world","2019-12-01 2021-08-15","web",0
"6",2020-01-05,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"7",2020-01-12,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"8",2020-01-19,3,"Zoom","world","2019-12-01 2021-08-15","web",0
"9",2020-01-26,3,"Zoom","world","2019-12-01 2021-08-15","web",0
"10",2020-02-02,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"11",2020-02-09,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"12",2020-02-16,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"13",2020-02-23,4,"Zoom","world","2019-12-01 2021-08-15","web",0
"14",2020-03-01,5,"Zoom","world","2019-12-01 2021-08-15","web",0
"15",2020-03-08,8,"Zoom","world","2019-12-01 2021-08-15","web",0
"16",2020-03-15,25,"Zoom","world","2019-12-01 2021-08-15","web",0
"17",2020-03-22,46,"Zoom","world","2019-12-01 2021-08-15","web",0
"18",2020-03-29,56,"Zoom","world","2019-12-01 2021-08-15","web",0
"19",2020-04-05,49,"Zoom","world","2019-12-01 2021-08-15","web",0
"20",2020-04-12,47,"Zoom","world","2019-12-01 2021-08-15","web",0
"21",2020-04-19,46,"Zoom","world","2019-12-01 2021-08-15","web",0
"22",2020-04-26,41,"Zoom","world","2019-12-01 2021-08-15","web",0
"23",2020-05-03,38,"Zoom","world","2019-12-01 2021-08-15","web",0
"24",2020-05-10,36,"Zoom","world","2019-12-01 2021-08-15","web",0
"25",2020-05-17,31,"Zoom","world","2019-12-01 2021-08-15","web",0
"26",2020-05-24,27,"Zoom","world","2019-12-01 2021-08-15","web",0
"27",2020-05-31,27,"Zoom","world","2019-12-01 2021-08-15","web",0
"28",2020-06-07,24,"Zoom","world","2019-12-01 2021-08-15","web",0
"29",2020-06-14,23,"Zoom","world","2019-12-01 2021-08-15","web",0
"30",2020-06-21,20,"Zoom","world","2019-12-01 2021-08-15","web",0
"31",2020-06-28,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"32",2020-07-05,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"33",2020-07-12,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"34",2020-07-19,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"35",2020-07-26,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"36",2020-08-02,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"37",2020-08-09,21,"Zoom","world","2019-12-01 2021-08-15","web",0
"38",2020-08-16,24,"Zoom","world","2019-12-01 2021-08-15","web",0
"39",2020-08-23,28,"Zoom","world","2019-12-01 2021-08-15","web",0
"40",2020-08-30,28,"Zoom","world","2019-12-01 2021-08-15","web",0
"41",2020-09-06,26,"Zoom","world","2019-12-01 2021-08-15","web",0
"42",2020-09-13,26,"Zoom","world","2019-12-01 2021-08-15","web",0
"43",2020-09-20,25,"Zoom","world","2019-12-01 2021-08-15","web",0
"44",2020-09-27,21,"Zoom","world","2019-12-01 2021-08-15","web",0
"45",2020-10-04,22,"Zoom","world","2019-12-01 2021-08-15","web",0
"46",2020-10-11,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"47",2020-10-18,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"48",2020-10-25,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"49",2020-11-01,17,"Zoom","world","2019-12-01 2021-08-15","web",0
"50",2020-11-08,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"51",2020-11-15,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"52",2020-11-22,19,"Zoom","world","2019-12-01 2021-08-15","web",0
"53",2020-11-29,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"54",2020-12-06,17,"Zoom","world","2019-12-01 2021-08-15","web",0
"55",2020-12-13,17,"Zoom","world","2019-12-01 2021-08-15","web",0
"56",2020-12-20,14,"Zoom","world","2019-12-01 2021-08-15","web",0
"57",2020-12-27,11,"Zoom","world","2019-12-01 2021-08-15","web",0
"58",2021-01-03,15,"Zoom","world","2019-12-01 2021-08-15","web",0
"59",2021-01-10,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"60",2021-01-17,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"61",2021-01-24,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"62",2021-01-31,18,"Zoom","world","2019-12-01 2021-08-15","web",0
"63",2021-02-07,17,"Zoom","world","2019-12-01 2021-08-15","web",0
"64",2021-02-14,17,"Zoom","world","2019-12-01 2021-08-15","web",0
"65",2021-02-21,16,"Zoom","world","2019-12-01 2021-08-15","web",0
"66",2021-02-28,17,"Zoom","world","2019-12-01 2021-08-15","web",0
"67",2021-03-07,15,"Zoom","world","2019-12-01 2021-08-15","web",0
"68",2021-03-14,15,"Zoom","world","2019-12-01 2021-08-15","web",0
"69",2021-03-21,16,"Zoom","world","2019-12-01 2021-08-15","web",0
"70",2021-03-28,12,"Zoom","world","2019-12-01 2021-08-15","web",0
"71",2021-04-04,14,"Zoom","world","2019-12-01 2021-08-15","web",0
"72",2021-04-11,15,"Zoom","world","2019-12-01 2021-08-15","web",0
"73",2021-04-18,16,"Zoom","world","2019-12-01 2021-08-15","web",0
"74",2021-04-25,14,"Zoom","world","2019-12-01 2021-08-15","web",0
"75",2021-05-02,14,"Zoom","world","2019-12-01 2021-08-15","web",0
"76",2021-05-09,14,"Zoom","world","2019-12-01 2021-08-15","web",0
"77",2021-05-16,15,"Zoom","world","2019-12-01 2021-08-15","web",0
"78",2021-05-23,14,"Zoom","world","2019-12-01 2021-08-15","web",0
"79",2021-05-30,13,"Zoom","world","2019-12-01 2021-08-15","web",0
"80",2021-06-06,13,"Zoom","world","2019-12-01 2021-08-15","web",0
"81",2021-06-13,13,"Zoom","world","2019-12-01 2021-08-15","web",0
"82",2021-06-20,12,"Zoom","world","2019-12-01 2021-08-15","web",0
"83",2021-06-27,11,"Zoom","world","2019-12-01 2021-08-15","web",0
"84",2021-07-04,12,"Zoom","world","2019-12-01 2021-08-15","web",0
"85",2021-07-11,12,"Zoom","world","2019-12-01 2021-08-15","web",0
"86",2021-07-18,12,"Zoom","world","2019-12-01 2021-08-15","web",0
"87",2021-07-25,10,"Zoom","world","2019-12-01 2021-08-15","web",0
"88",2021-08-01,11,"Zoom","world","2019-12-01 2021-08-15","web",0
"89",2021-08-08,11,"Zoom","world","2019-12-01 2021-08-15","web",0
"90",2019-12-01,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"91",2019-12-08,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"92",2019-12-15,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"93",2019-12-22,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"94",2019-12-29,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"95",2020-01-05,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"96",2020-01-12,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"97",2020-01-19,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"98",2020-01-26,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"99",2020-02-02,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"100",2020-02-09,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"101",2020-02-16,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"102",2020-02-23,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"103",2020-03-01,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"104",2020-03-08,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"105",2020-03-15,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"106",2020-03-22,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"107",2020-03-29,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"108",2020-04-05,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"109",2020-04-12,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"110",2020-04-19,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"111",2020-04-26,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"112",2020-05-03,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"113",2020-05-10,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"114",2020-05-17,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"115",2020-05-24,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"116",2020-05-31,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"117",2020-06-07,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"118",2020-06-14,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"119",2020-06-21,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"120",2020-06-28,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"121",2020-07-05,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"122",2020-07-12,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"123",2020-07-19,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"124",2020-07-26,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"125",2020-08-02,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"126",2020-08-09,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"127",2020-08-16,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"128",2020-08-23,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"129",2020-08-30,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"130",2020-09-06,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"131",2020-09-13,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"132",2020-09-20,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"133",2020-09-27,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"134",2020-10-04,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"135",2020-10-11,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"136",2020-10-18,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"137",2020-10-25,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"138",2020-11-01,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"139",2020-11-08,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"140",2020-11-15,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"141",2020-11-22,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"142",2020-11-29,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"143",2020-12-06,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"144",2020-12-13,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"145",2020-12-20,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"146",2020-12-27,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"147",2021-01-03,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"148",2021-01-10,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"149",2021-01-17,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"150",2021-01-24,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"151",2021-01-31,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"152",2021-02-07,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"153",2021-02-14,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"154",2021-02-21,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"155",2021-02-28,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"156",2021-03-07,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"157",2021-03-14,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"158",2021-03-21,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"159",2021-03-28,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"160",2021-04-04,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"161",2021-04-11,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"162",2021-04-18,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"163",2021-04-25,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"164",2021-05-02,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"165",2021-05-09,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"166",2021-05-16,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
"167",2021-05-23,NA,"Dingtalk","world","2019-12-01 2021-08-15","web",0
