"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,46,"Ubongo","world","2019-12-01 2021-08-15","web",0
"2",2019-12-08,76,"Ubongo","world","2019-12-01 2021-08-15","web",0
"3",2019-12-15,42,"Ubongo","world","2019-12-01 2021-08-15","web",0
"4",2019-12-22,80,"Ubongo","world","2019-12-01 2021-08-15","web",0
"5",2019-12-29,34,"Ubongo","world","2019-12-01 2021-08-15","web",0
"6",2020-01-05,30,"Ubongo","world","2019-12-01 2021-08-15","web",0
"7",2020-01-12,28,"Ubongo","world","2019-12-01 2021-08-15","web",0
"8",2020-01-19,32,"Ubongo","world","2019-12-01 2021-08-15","web",0
"9",2020-01-26,25,"Ubongo","world","2019-12-01 2021-08-15","web",0
"10",2020-02-02,19,"Ubongo","world","2019-12-01 2021-08-15","web",0
"11",2020-02-09,19,"Ubongo","world","2019-12-01 2021-08-15","web",0
"12",2020-02-16,18,"Ubongo","world","2019-12-01 2021-08-15","web",0
"13",2020-02-23,23,"Ubongo","world","2019-12-01 2021-08-15","web",0
"14",2020-03-01,24,"Ubongo","world","2019-12-01 2021-08-15","web",0
"15",2020-03-08,21,"Ubongo","world","2019-12-01 2021-08-15","web",0
"16",2020-03-15,28,"Ubongo","world","2019-12-01 2021-08-15","web",0
"17",2020-03-22,34,"Ubongo","world","2019-12-01 2021-08-15","web",0
"18",2020-03-29,39,"Ubongo","world","2019-12-01 2021-08-15","web",0
"19",2020-04-05,25,"Ubongo","world","2019-12-01 2021-08-15","web",0
"20",2020-04-12,23,"Ubongo","world","2019-12-01 2021-08-15","web",0
"21",2020-04-19,45,"Ubongo","world","2019-12-01 2021-08-15","web",0
"22",2020-04-26,35,"Ubongo","world","2019-12-01 2021-08-15","web",0
"23",2020-05-03,30,"Ubongo","world","2019-12-01 2021-08-15","web",0
"24",2020-05-10,33,"Ubongo","world","2019-12-01 2021-08-15","web",0
"25",2020-05-17,15,"Ubongo","world","2019-12-01 2021-08-15","web",0
"26",2020-05-24,35,"Ubongo","world","2019-12-01 2021-08-15","web",0
"27",2020-05-31,31,"Ubongo","world","2019-12-01 2021-08-15","web",0
"28",2020-06-07,21,"Ubongo","world","2019-12-01 2021-08-15","web",0
"29",2020-06-14,28,"Ubongo","world","2019-12-01 2021-08-15","web",0
"30",2020-06-21,29,"Ubongo","world","2019-12-01 2021-08-15","web",0
"31",2020-06-28,26,"Ubongo","world","2019-12-01 2021-08-15","web",0
"32",2020-07-05,29,"Ubongo","world","2019-12-01 2021-08-15","web",0
"33",2020-07-12,15,"Ubongo","world","2019-12-01 2021-08-15","web",0
"34",2020-07-19,29,"Ubongo","world","2019-12-01 2021-08-15","web",0
"35",2020-07-26,18,"Ubongo","world","2019-12-01 2021-08-15","web",0
"36",2020-08-02,26,"Ubongo","world","2019-12-01 2021-08-15","web",0
"37",2020-08-09,24,"Ubongo","world","2019-12-01 2021-08-15","web",0
"38",2020-08-16,27,"Ubongo","world","2019-12-01 2021-08-15","web",0
"39",2020-08-23,15,"Ubongo","world","2019-12-01 2021-08-15","web",0
"40",2020-08-30,20,"Ubongo","world","2019-12-01 2021-08-15","web",0
"41",2020-09-06,22,"Ubongo","world","2019-12-01 2021-08-15","web",0
"42",2020-09-13,25,"Ubongo","world","2019-12-01 2021-08-15","web",0
"43",2020-09-20,20,"Ubongo","world","2019-12-01 2021-08-15","web",0
"44",2020-09-27,26,"Ubongo","world","2019-12-01 2021-08-15","web",0
"45",2020-10-04,30,"Ubongo","world","2019-12-01 2021-08-15","web",0
"46",2020-10-11,28,"Ubongo","world","2019-12-01 2021-08-15","web",0
"47",2020-10-18,32,"Ubongo","world","2019-12-01 2021-08-15","web",0
"48",2020-10-25,25,"Ubongo","world","2019-12-01 2021-08-15","web",0
"49",2020-11-01,43,"Ubongo","world","2019-12-01 2021-08-15","web",0
"50",2020-11-08,55,"Ubongo","world","2019-12-01 2021-08-15","web",0
"51",2020-11-15,49,"Ubongo","world","2019-12-01 2021-08-15","web",0
"52",2020-11-22,76,"Ubongo","world","2019-12-01 2021-08-15","web",0
"53",2020-11-29,60,"Ubongo","world","2019-12-01 2021-08-15","web",0
"54",2020-12-06,94,"Ubongo","world","2019-12-01 2021-08-15","web",0
"55",2020-12-13,100,"Ubongo","world","2019-12-01 2021-08-15","web",0
"56",2020-12-20,89,"Ubongo","world","2019-12-01 2021-08-15","web",0
"57",2020-12-27,83,"Ubongo","world","2019-12-01 2021-08-15","web",0
"58",2021-01-03,58,"Ubongo","world","2019-12-01 2021-08-15","web",0
"59",2021-01-10,45,"Ubongo","world","2019-12-01 2021-08-15","web",0
"60",2021-01-17,33,"Ubongo","world","2019-12-01 2021-08-15","web",0
"61",2021-01-24,32,"Ubongo","world","2019-12-01 2021-08-15","web",0
"62",2021-01-31,36,"Ubongo","world","2019-12-01 2021-08-15","web",0
"63",2021-02-07,32,"Ubongo","world","2019-12-01 2021-08-15","web",0
"64",2021-02-14,40,"Ubongo","world","2019-12-01 2021-08-15","web",0
"65",2021-02-21,34,"Ubongo","world","2019-12-01 2021-08-15","web",0
"66",2021-02-28,20,"Ubongo","world","2019-12-01 2021-08-15","web",0
"67",2021-03-07,23,"Ubongo","world","2019-12-01 2021-08-15","web",0
"68",2021-03-14,9,"Ubongo","world","2019-12-01 2021-08-15","web",0
"69",2021-03-21,28,"Ubongo","world","2019-12-01 2021-08-15","web",0
"70",2021-03-28,19,"Ubongo","world","2019-12-01 2021-08-15","web",0
"71",2021-04-04,25,"Ubongo","world","2019-12-01 2021-08-15","web",0
"72",2021-04-11,32,"Ubongo","world","2019-12-01 2021-08-15","web",0
"73",2021-04-18,22,"Ubongo","world","2019-12-01 2021-08-15","web",0
"74",2021-04-25,20,"Ubongo","world","2019-12-01 2021-08-15","web",0
"75",2021-05-02,19,"Ubongo","world","2019-12-01 2021-08-15","web",0
"76",2021-05-09,15,"Ubongo","world","2019-12-01 2021-08-15","web",0
"77",2021-05-16,20,"Ubongo","world","2019-12-01 2021-08-15","web",0
"78",2021-05-23,28,"Ubongo","world","2019-12-01 2021-08-15","web",0
"79",2021-05-30,16,"Ubongo","world","2019-12-01 2021-08-15","web",0
"80",2021-06-06,15,"Ubongo","world","2019-12-01 2021-08-15","web",0
"81",2021-06-13,18,"Ubongo","world","2019-12-01 2021-08-15","web",0
"82",2021-06-20,16,"Ubongo","world","2019-12-01 2021-08-15","web",0
"83",2021-06-27,17,"Ubongo","world","2019-12-01 2021-08-15","web",0
"84",2021-07-04,22,"Ubongo","world","2019-12-01 2021-08-15","web",0
"85",2021-07-11,26,"Ubongo","world","2019-12-01 2021-08-15","web",0
"86",2021-07-18,21,"Ubongo","world","2019-12-01 2021-08-15","web",0
"87",2021-07-25,26,"Ubongo","world","2019-12-01 2021-08-15","web",0
"88",2021-08-01,27,"Ubongo","world","2019-12-01 2021-08-15","web",0
"89",2021-08-08,22,"Ubongo","world","2019-12-01 2021-08-15","web",0
"90",2019-12-01,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"91",2019-12-08,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"92",2019-12-15,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"93",2019-12-22,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"94",2019-12-29,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"95",2020-01-05,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"96",2020-01-12,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"97",2020-01-19,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"98",2020-01-26,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"99",2020-02-02,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"100",2020-02-09,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"101",2020-02-16,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"102",2020-02-23,1,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"103",2020-03-01,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"104",2020-03-08,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"105",2020-03-15,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"106",2020-03-22,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"107",2020-03-29,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"108",2020-04-05,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"109",2020-04-12,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"110",2020-04-19,0,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
"111",2020-04-26,1,"Cell-Ed","world","2019-12-01 2021-08-15","web",0
